time,open,high,low,close,vwap,volume,count,EMA3,EMA5,EMA8,EMA10,EMA12,EMA15,EMA30,EMA35,EMA40,EMA45,EMA50,EMA60,stochRSI,BB_middle,BB_upper,BB_lower
1731398400,89079.6,89334.7,88887.9,89334.6,89049.2,147.54983577,2278,89190.19930549424,89018.87124710136,88713.9588887291,88467.19779130525,88196.94023829275,87772.46957830293,85818.90485390411,85277.82458787755,84788.23469337098,84344.72965215139,83942.11455715321,83241.20938225299,41.35316282357478,87017.11500000002,91540.84936898103,82493.38063101901
1731402000,89334.7,89337.0,87750.0,87777.1,88742.2,392.68308574,3528,88483.64965274712,88604.94749807089,88505.76805902869,88341.72618505104,88132.35483949253,87773.08879083238,85947.4693935771,85420.62314536245,84940.09825125612,84502.42945997037,84103.56112264413,83406.42142315651,31.30459976874959,87310.77500000002,91184.50056739635,83437.0494326037
1731405600,87777.1,88047.3,85302.8,86825.7,86752.9,586.84692557,7948,87654.67482637355,88011.86499871819,88132.41964568164,88066.08598354839,87931.33795543188,87654.71703853637,86006.98975513676,85503.75079696934,85039.86065486824,84614.30366374126,84224.49541413326,83539.69143577629,21.31120602812743,87523.11000000002,90747.16424637988,84299.05575362015
1731409200,86825.6,87836.2,86590.0,87209.5,87289.0,290.67553779,3399,87432.08741318677,87744.4099991529,87927.3264684618,87910.34469278982,87820.29810273807,87599.1556401959,86089.57662551924,85607.38333769335,85159.31492386406,84746.14755908852,84366.37597523897,83697.04743506575,14.374235957525494,87675.93000000002,90513.07411695989,84838.78588304015
1731412800,87209.5,87838.8,86251.9,86349.5,87130.8,256.91031381,3108,86890.7937065934,87279.43999942853,87576.69829433342,87626.55328675364,87594.01048437422,87442.86657268787,86101.81581239564,85640.58582256973,85205.04818376356,84798.65503941229,84421.68189905079,83750.49675161419,10.525903734211784,87776.50500000002,90252.88408848789,85300.12591151215
1731416400,86353.6,86550.1,85136.0,86344.0,85874.3,356.17833152,3957,86617.3968532967,86967.62666629523,87302.76543920964,87393.36385044629,87401.71673944284,87305.62454120777,86123.85620681547,85691.03135398838,85278.0611960323,84890.20804511082,84528.88059618202,83882.99646993096,7.967400873256766,87857.33000000002,90015.44271355323,85699.2172864468
1731420000,86343.9,87117.0,85300.0,87061.3,86292.1,245.81804905,3643,86839.34842664836,86998.85111086804,87249.10649995843,87332.98959111267,87349.35234539196,87275.13936716199,86187.39246099348,85772.57192813214,85373.3626739248,84996.2089352082,84643.34527977378,84009.8134806914,7.556512323931517,87915.505,89916.17847408316,85914.83152591684
1731423600,87061.3,87541.7,86276.6,86688.3,87048.7,213.87163708,3329,86763.82421332417,86895.33407396147,87124.48334717192,87215.78402964404,87247.73261187389,87202.38701332918,86252.95209489892,85882.3446098708,85527.94734753954,85196.02273660719,84888.38483463245,84343.58609643698,7.088557185277057,87935.43000000002,89878.03891596844,85992.8210840316
1731427200,86688.6,87640.2,85835.8,87129.2,86796.5,193.00275833,3138,86946.51210666209,86973.28938264148,87125.53149750312,87200.0415885744,87229.49765046778,87193.24480255804,86309.82438403179,85952.21704922784,85606.98269368618,85281.36574681604,84977.94675309141,84437.4344699113,4.764295962833016,87936.34,89877.41972159827,85995.26027840172
1731430800,87137.5,88014.2,86974.3,87072.1,87604.7,242.18559928,3100,87009.30605333105,87006.226255089,87113.65777600963,87176.77832538504,87205.2739378265,87178.03676144082,86355.42073758264,86008.08502458592,85668.70464007148,85345.61792519345,85042.30445016558,84497.30967434865,6.147909419286927,87890.825,89867.80802357405,85913.84197642595
1731434400,87054.7,89000.0,87049.8,88964.0,88225.1,276.66621568,3704,87986.65302666553,87658.81750339166,87524.84492652114,87501.72750417102,87475.84555026722,87401.27000022057,86523.04498567461,86171.11333378895,85827.62471184305,85500.38996175406,85192.7681491032,84638.79265243678,10.31231904885372,87934.4,89964.93517773024,85903.86482226975
1731438000,88963.9,89852.5,88787.3,88811.3,89389.1,362.54503918,4404,88398.97651333277,88042.97833560084,87810.72389820236,87739.8329818508,87681.31050927333,87577.60168577996,86674.97396934424,86325.40831181545,85984.86747157943,85660.67096032825,85355.99232432149,84807.40760458421,14.75367291773079,87938.085,89974.69577899044,85901.47422100957
1731441600,88811.4,89900.0,88811.3,89577.1,89572.4,285.03877468,3490,88988.03825666639,88554.35222374319,88203.25201742399,88073.88354727335,87972.9855876339,87827.6522485158,86868.45708951843,86517.12994891965,86177.09993457035,85854.68255632863,85552.51436304333,85010.02646374253,21.551450536990835,87966.945,90077.9247919213,85855.96520807872
1731445200,89584.2,89777.0,88234.3,88339.9,88807.7,222.23491259,2846,88663.96912833319,88482.86814916592,88233.61827518312,88122.25099776215,88029.44014210168,87891.72942851394,86965.93830801768,86622.91192741657,86289.53835614747,85972.41722969692,85674.46563932662,85138.06488982824,24.0589867975012,87954.99000000002,90054.64730908643,85855.33269091361
1731448800,88315.9,88658.0,87680.9,88624.8,88142.1,298.95192281,2590,88644.3845641666,88530.17876611954,88320.54764023291,88213.62548238705,88121.0485375946,87983.47214761158,87078.9694174094,86744.77231096133,86419.79838769912,86110.55351332495,85819.95633664099,85296.83348080526,29.635033302776186,87998.275,90115.61317787805,85880.93682212193
1731452400,88624.8,88624.8,87424.2,88087.3,87967.3,186.66698156,1845,88365.8422820833,88382.55251073994,88268.71476465894,88190.65582179197,88115.84599999568,87996.37249467336,87139.7124023723,86811.71979977074,86489.41245246417,86180.12895276076,85887.4963956878,85356.43156766586,32.55830979686037,87992.64,90108.40001512459,85876.87998487541
1731456000,88087.3,88507.6,87720.6,88171.8,88173.0,93.78297035,1490,88268.82114104164,88312.3016738292,88247.17817706235,88187.22804946393,88124.45850827532,88018.33232586378,87208.03062057048,86890.34837326845,86576.19202612799,86273.30054035134,85985.66517002996,85461.55260714852,34.68466707796559,87975.975,90080.54767954805,85871.40232045196
1731459600,88147.2,88608.8,87846.8,88359.0,88208.9,85.90667255,1397,88313.91057052082,88327.86778254814,88272.02742256477,88218.45830102748,88160.53420750744,88060.85893292681,87279.15023068039,86966.38301893508,86654.62512341571,86352.07194486864,86063.18397415693,85533.34517971566,37.806380912153735,87971.79500000001,90072.97327085187,85870.61672914815
1731463200,88376.2,88429.1,87199.1,87975.3,87551.3,123.70458232,1659,88144.60528526042,88210.34518836929,88206.08803541557,88174.24853772546,88132.04292691249,88050.21107297292,87326.65642926251,87027.02870514298,86726.10368176698,86432.49550581182,86151.02860537606,85632.5962612794,38.62310663735701,87889.07,89848.09597338576,85930.04402661425
1731466800,87975.3,88200.0,87196.3,87227.4,87481.0,108.27056293,1429,87686.0026426302,87882.6967922481,87988.60182514077,88002.09467185994,87992.87020141286,87947.38292698251,87321.53481297907,87040.43189276839,86754.04505276552,86471.92522247335,86199.59654168013,85694.37015482281,37.31117291674708,87796.46,89695.81921236611,85897.1007876339
1731470400,87227.5,87772.7,86393.9,87299.9,87128.8,156.43202416,2291,87492.95132131511,87688.43119484959,87835.55715719907,87874.42671473282,87886.28797139482,87866.66108008694,87331.91864570814,87075.71754817442,86812.71993043876,86552.65877003685,86301.15843106728,85834.16378986053,33.50204086495364,87694.725,89467.37973555908,85922.07026444093
1731474000,87300.0,87499.6,86642.9,86662.9,87046.2,102.68181607,1036,87077.92566065755,87346.58746323737,87574.96672271489,87654.1500674525,87698.0814811901,87716.24358723348,87291.66036728812,87057.92883344798,86813.31288593051,86568.48099522936,86329.745775637,85882.82273170479,29.144139015329312,87639.01499999998,89466.9826783521,85811.04732164787
1731477600,86666.2,87000.0,86258.0,86585.9,86577.7,136.81961503,1483,86831.91283032877,87093.02497546897,87355.17388271191,87459.91787741904,87526.93977301367,87574.67512940221,87230.92786251327,87004.77489121625,86760.86740478777,86511.51599768199,86264.41947691013,85793.41812216709,21.095809284466288,87627.025,89479.16019363463,85774.88980636536
1731481200,86586.0,87600.0,86586.0,87485.6,87134.2,210.00512166,1597,87158.75641516439,87223.88331695781,87384.15724076921,87464.58268705511,87520.5447305963,87563.27858823905,87232.89577196013,87005.86311927394,86756.87320944147,86498.94408429135,86240.59211028603,85741.89617379589,20.161083125142866,87640.82999999999,89484.40729547746,85797.25270452251
1731484800,87485.7,87750.0,87224.0,87323.5,87477.1,88.38679335,1192,87241.1282075822,87257.08887799825,87370.67812815442,87438.93701422024,87490.27318273098,87533.62781944899,87256.48105744996,87054.94050496713,86832.77681170846,86602.16370163737,86371.02733993833,85925.00294966187,18.34537477580822,87689.53,89443.36109688476,85935.69890311523
1731488400,87323.5,87637.1,87202.8,87496.3,87461.3,66.81482237,955,87368.7141037911,87336.82591868544,87398.59430689763,87449.37097406726,87491.23289890445,87529.20483132124,87285.35872264534,87103.21186255278,86901.61490749061,86691.94820419377,86481.63065880412,86075.70327647844,19.005437925649765,87747.14499999999,89392.75216269102,86101.53783730896
1731492000,87515.1,87602.0,87252.0,87600.1,87406.6,47.44296026,987,87484.40705189556,87424.58394578267,87443.37327045428,87476.77459485536,87507.9692327414,87537.97367543138,87300.53102769831,87121.72124209402,86921.72085600146,86711.93762220918,86500.03582140912,86087.70191836693,20.65456573851069,87774.08499999999,89391.29483582836,86156.87516417162
1731495600,87600.1,88199.5,87600.0,87797.5,87873.0,103.85915599,1220,87640.95352594779,87548.88929719335,87522.06815029855,87535.08937075893,87552.52043853798,87570.47433485402,87335.89644633618,87165.11648493027,86973.42771433575,86771.67918897803,86567.29518876184,86168.19789746698,23.201676834684985,87829.54500000001,89368.1769397114,86290.91306028863
