time,open,high,low,close,vwap,volume,count,EMA3,EMA5,EMA8,EMA10,EMA12,EMA15,EMA30,EMA35,EMA40,EMA45,EMA50,EMA60,stochRSI,BB_middle,BB_upper,BB_lower
1732151700,237.63,238.82,237.58,238.47,238.42,2011.15960031,287,238.10940532622493,237.8745891991125,237.58805359485234,237.42558303270175,237.27685720129642,237.07889337310638,236.55826111976853,236.5099760453576,236.49539689638345,236.503267616736,236.5258265655909,236.5955553565205,59.433074214339946,236.87800000000001,238.90730135761055,234.84869864238948
1732152600,238.46,238.56,237.38,237.79,238.00,1769.12359771,271,237.94970266311248,237.8463927993681,237.63293015537224,237.49183192835565,237.35573659922255,237.16729108186502,236.61066115449998,236.53313207425862,236.48490946202358,236.45642213903795,236.4411823909831,236.43445835142893,57.47842529658345,237.01749999999998,238.88864804331456,235.1463519566854
1732153500,237.79,237.90,236.62,236.75,237.38,1976.81494125,192,237.34985133155624,237.48092853286093,237.43672292269503,237.35694230041642,237.26246296244975,237.11450647713616,236.5852683649873,236.48426268662269,236.40429952270838,236.33861485049576,236.28279771355747,236.1904207669849,52.3257549259885,237.09249999999997,238.78607462191658,235.39892537808336
1732154400,236.75,236.75,234.56,234.66,235.75,7057.66267742,522,236.0049256657781,236.54061902195025,236.81967383099055,236.86659847983682,236.8621541288556,236.80821693707034,236.4899533431918,236.43411147078896,236.39782614133136,236.37536725491324,236.36244708306594,236.3540331833987,51.09781164354422,237.05450000000002,238.92168477928675,235.1873152207133
1732155300,234.66,235.32,231.57,231.59,233.28,8042.42039581,605,233.79746283288904,234.8904126813075,235.6575241671005,235.90721853155256,236.05106546997655,236.15602932486416,236.1787652178381,236.17374297193481,236.17673214324262,236.18606010516925,236.19977830422462,236.23436913331543,51.24604558992714,236.73850000000002,239.72391973598354,233.7530802640165
1732156200,231.63,231.98,230.00,230.51,231.19,10048.74239348,591,232.15373141644451,233.43027512089833,234.51363018479466,234.92591185510045,235.19863732885122,235.45060052899325,235.8309611660795,235.89084550674238,235.94906701555092,236.00733877283264,236.0655248860719,236.1792889143409,47.93681380919737,236.37600000000003,240.3681492958055,232.38385070419457
1732157100,230.50,232.36,230.50,232.36,231.51,2201.65912529,316,232.25686570822228,233.07351674724677,234.03504550421903,234.4593783546118,234.761893287468,235.0640467280542,235.594409118054,235.67232936561132,235.73965897060927,235.80083629165424,235.8576348290143,235.96070227567506,43.784782979945746,236.1515,240.50079546018662,231.80220453981337
1732158000,232.39,234.44,232.02,234.38,233.11,1710.11081279,442,233.31843285411114,233.50901116486165,234.11170237546543,234.44495253659215,234.70319015360036,234.97891216674702,235.5365432701116,235.63682462932942,235.7290608062207,235.81684810314394,235.90125995689974,236.06042341715985,42.09188169506953,235.98449999999997,240.33655916779628,231.63244083220366
1732158900,234.38,236.85,233.47,236.85,234.64,3453.86709887,540,235.08421642705557,234.62267410990177,234.72021289650047,234.88223259516457,235.0334588330173,235.21272521596265,235.6172589425187,235.69709460504336,235.7727944580017,235.84648810214154,235.91851388611727,236.05654292573038,42.09458016101974,235.9765,240.32157203622677,231.6314279637732
1732159800,236.84,237.00,235.50,235.82,236.27,3989.33459768,441,235.45210821352777,235.02178273989753,234.96460964613414,235.05272773314027,235.15440484118412,235.2881837243321,235.6054666417382,235.65985462733013,235.70742907604017,235.75088043543164,235.79131366360406,235.86476552173372,41.02216948556711,235.96749999999997,240.31308569125034,231.6219143087496
1732160700,235.80,236.83,235.80,236.04,236.22,4476.07729270,352,235.7460541067639,235.36118849327534,235.20358538775403,235.2322340243699,235.29066710580753,235.38228672868865,235.64045068446472,235.69328694777425,235.74255930875267,235.78984297175012,235.83552785901713,235.92192879779412,38.468843057735796,235.94099999999997,240.2780215586275,231.60397844137245
