time,open,high,low,close,vwap,volume,count,EMA3,EMA5,EMA8,EMA10,EMA12,EMA15,EMA30,EMA35,EMA40,EMA45,EMA50,EMA60,stochRSI,BB_middle,BB_upper,BB_lower
1732151700,3086.43,3098.46,3085.82,3096.24,3096.33,42.49384365,130,3090.664536378858,3088.057673305954,3085.4230768882253,3084.1333634024713,3083.095367870559,3081.9398219844634,3081.2744691365256,3082.0974668636495,3083.1257404117996,3084.259279065502,3085.434712758896,3087.768655803326,62.52834271319949,3079.727,3093.9246619201895,3065.5293380798103
1732152600,3096.35,3099.00,3087.13,3090.27,3094.85,51.87564469,102,3090.467268189429,3088.7951155370633,3086.500168428097,3085.249063633698,3084.198767532875,3082.9781803537626,3081.6940699932256,3082.2666742725532,3083.0368860833646,3083.910123340118,3084.827176248851,3086.661290260898,64.86001880056077,3080.4840000000004,3095.224620611087,3065.7433793889136
1732153500,3090.39,3092.21,3081.92,3081.92,3087.19,9.93857304,63,3086.1936340947145,3086.503410357441,3085.4823469712696,3084.6436488463705,3083.8472071841184,3082.838578350473,3081.304287241296,3081.53098466375,3081.882299791832,3082.287991544844,3082.7080372889186,3083.514129172685,64.53372907576099,3080.8735,3095.3309137037027,3066.4160862962976
1732154400,3081.91,3081.92,3064.33,3065.59,3071.48,218.35973527,205,3075.891817047357,3079.532273571917,3081.061828430068,3081.179411851992,3081.0388780349645,3080.6860332138103,3080.485051968438,3080.9901421307154,3081.61695676326,3082.3009712855564,3083.001671830761,3084.366153539618,60.80729151104316,3080.4294999999997,3096.1375991529844,3064.721400847015
1732155300,3065.41,3067.31,3041.30,3041.59,3051.59,155.51505128,215,3058.7409085236786,3066.884849047897,3072.290310509259,3073.9813267005625,3074.969742694949,3075.7984522525508,3077.943871775405,3078.7448641573906,3079.5778469348647,3080.4100809251863,3081.219885977216,3082.7282169206887,59.15873480167526,3078.8199999999997,3101.8252298401903,3055.814770159809
1732156200,3041.49,3047.96,3036.00,3040.59,3041.70,108.13118385,211,3049.6654542618394,3058.1198993653747,3065.245798202054,3067.910200175895,3069.6807302689176,3071.3987316649004,3075.607647245772,3076.755733498524,3077.8765172194267,3078.958668441729,3079.992033467888,3081.8919362217825,53.53103492321675,3076.6714999999995,3104.9308250273243,3048.4121749726746
1732157100,3040.60,3058.82,3040.60,3058.75,3054.18,46.93850881,126,3054.20772713092,3058.329932910062,3063.8022855370027,3066.2446684529186,3067.998772952994,3069.815349543642,3074.3936835201307,3075.5315103667785,3076.5997027683725,3077.6001108085716,3078.5323521019372,3080.1981905992147,47.054448989794686,3075.6094999999996,3104.868885143915,3046.350114856084
1732158000,3058.75,3073.75,3056.95,3072.05,3061.53,370.90433352,175,3063.12886356546,3062.9032886067334,3065.6351112389657,3067.3001888274166,3068.6220803479027,3070.0949924604347,3074.259669327959,3075.3685519270475,3076.424536640499,3077.424087414666,3078.363389801535,3080.0582284152097,43.12691719719537,3074.794999999999,3103.493063697747,3046.0969363022514
1732158900,3072.05,3101.88,3065.92,3101.87,3085.77,379.25466378,265,3082.49943178273,3075.8921924044153,3073.6873079752904,3073.5855930465523,3073.737024702901,3074.065970038607,3075.991419131276,3076.7530425171626,3077.530940132437,3078.2987356885405,3079.0394506759444,3080.406677772892,47.403212576988295,3075.711,3106.5574545126337,3044.864545487366
1732159800,3101.55,3101.55,3080.43,3081.65,3084.20,273.55618834,165,3082.074715891365,3077.8114616029616,3075.4567952784773,3075.051852751503,3074.954434793311,3075.014192573604,3076.3685592791117,3077.046481678623,3077.7647088087483,3078.490281778593,3079.2016798472478,3080.536747180808,46.98187241353592,3076.1539999999995,3107.074327553245,3045.233672446754
1732160700,3081.75,3091.39,3081.75,3084.93,3088.31,23.33621687,92,3083.5023579456824,3080.184307735523,3077.561954119448,3076.847926207729,3076.489487994899,3076.256290664782,3077.065572380738,3077.7407625045225,3078.507804768908,3079.3196423507693,3080.143669220101,3081.751092091435,44.79473254877121,3076.676999999999,3107.8187565978533,3045.535243402145
1732161600,3085.17,3110.00,3084.01,3108.17,3098.32,329.80862890,235,3095.8361789728415,3089.512871823926,3084.363744631585,3082.542901714185,3081.3638112426074,3080.248481199276,3079.236540435956,3079.722254475034,3080.401549548204,3081.197693205244,3082.0571275279626,3083.832371562584,48.11036265696229,3078.4320000000002,3112.391514484162,3044.4724855158383
1732162500,3109.01,3118.83,3095.95,3118.83,3107.33,85.56774525,166,3107.3330894864207,3099.2852478824093,3092.022910331375,3089.1405108577014,3087.127501396439,3085.0686383914153,3081.6512329914362,3081.647348223455,3081.895972652606,3082.303259929892,3082.806337600104,3083.9460647146593,54.55261819905868,3080.8740000000003,3118.8416359021735,3042.906364097827
1732163400,3118.84,3140.00,3118.84,3131.65,3131.03,592.63106698,343,3119.4915447432104,3110.073498588554,3100.8289331724136,3096.869569731828,3093.9775738845765,3090.894726354723,3085.0655143984804,3084.759348064228,3084.83598221627,3085.1648302677813,3085.656778119073,3086.905176527525,64.76059878857498,3083.6130000000003,3127.476047363356,3039.7499526366446
1732164300,3132.74,3136.03,3121.96,3134.16,3125.65,689.12026268,325,3126.825772371605,3118.102332393373,3108.235847352133,3103.6498659183726,3100.1611236903736,3096.315127845477,3088.9082951158484,3088.7004708441923,3089.07951907949,3089.859952430519,3090.9080071123763,3093.4515214004286,75.50542643761555,3086.716500000001,3135.3979544873105,3038.0350455126913
1732165200,3134.16,3144.79,3129.63,3136.76,3137.59,126.29029131,206,3131.7928861858027,3124.3215549283927,3114.574542506978,3109.6697768629565,3105.790867508469,3101.364365439948,3091.643996785305,3090.747659376511,3090.4490868480702,3090.5641992614615,3090.963083414638,3092.2708091036848,85.20013777006591,3089.601500000001,3142.7591625802916,3036.4438374197107
1732166100,3134.73,3137.00,3124.00,3126.02,3127.21,487.14342288,159,3128.906443092901,3124.887703285017,3117.1179714951422,3112.6424192323516,3108.902098712881,3104.439272075657,3093.4729897935476,3092.0183464631054,3091.126441856802,3090.62918612809,3090.4098179920265,3090.5006446906277,89.41961614557474,3091.4445,3146.9185744762813,3035.970425523719
