time,open,high,low,close,vwap,volume,count,EMA3,EMA5,EMA8,EMA10,EMA12,EMA15,EMA30,EMA35,EMA40,EMA45,EMA50,EMA60,stochRSI,BB_middle,BB_upper,BB_lower
1732386720,97828.0,97828.0,97813.5,97816.9,97821.4,2.21730210,30,97838.66286691699,97856.0125843755,97872.74785581639,97881.3014242956,97888.67802559558,97898.26782575525,97934.79218228009,97944.61636901877,97953.48810798611,97961.4812432711,97968.6776093255,97981.01243586061,21.97174779409425,97932.56000000001,98071.61682867089,97793.50317132914
1732386780,97816.8,97821.9,97816.7,97821.8,97816.8,3.59761767,16,97830.2314334585,97844.60838958388,97861.42611239757,97870.4830319099,97878.38946230644,97888.71206583365,97927.65232982275,97938.05894185712,97947.47229662641,97955.97765991611,97963.66135223149,97976.90189979448,22.828193279820788,97919.9,98050.63417303826,97789.16582696173
1732386840,97821.9,97821.9,97821.8,97821.9,97821.8,0.02197121,8,97826.06571672924,97837.03892638926,97852.64253183652,97861.64975279063,97869.69877136206,97880.36052445446,97920.82777001579,97931.60242701131,97941.34184314722,97950.14125114663,97958.09301462438,97971.80633927112,23.592463532871253,97907.355,98024.43204258308,97790.27795741691
1732386900,97821.9,97821.9,97821.8,97821.9,97821.8,0.09171458,29,97823.98285836462,97831.9926175936,97845.81086601077,97854.42269026281,97862.34635621916,97873.06224089014,97914.957411426,97926.41513122254,97936.90857836035,97946.51022713585,97955.29140188431,97970.68006346792,24.872194744235557,97897.82999999999,98010.06970955057,97785.5902904494
1732386960,97821.9,97821.9,97821.8,97821.8,97821.8,3.88481278,36,97822.89142918232,97828.59507839593,97840.47512007212,97848.49133511684,97856.10877906684,97866.65688072692,97909.08076194844,97920.83972125492,97931.65674418879,97941.59504987206,97950.71847407261,97966.78651451242,22.300001555104668,97889.67999999998,97999.11225484287,97780.24774515709
1732387020,97821.9,97821.9,97821.8,97821.9,97821.8,0.10194838,17,97822.39571459116,97826.36338559729,97836.34731563993,97843.65654750395,97850.8458944153,97861.06230378602,97903.45802551213,97915.34631037229,97926.30773226234,97936.3978625638,97945.67583809912,97962.04966800933,19.252682759031792,97882.62499999999,97990.42104584584,97774.82895415413
1732387080,97821.9,97900.3,97821.9,97900.2,97864.6,0.20257929,41,97861.29785729558,97850.97559039894,97850.53680882763,97853.93733753188,97858.44005354735,97865.96363205541,97903.75076424987,97915.3959306837,97926.40247295852,97936.73399853881,97946.38641723276,97963.74284107232,23.404962828618373,97878.095,97974.32032878614,97781.86967121386
1732387140,97900.3,97900.4,97900.2,97900.3,97900.3,0.19972867,16,97880.7989286478,97867.41706026596,97861.59529572655,97862.36691193588,97864.88004087361,97870.25564489848,97903.52630544761,97914.55402756973,97925.12420599973,97935.14296635096,97944.57003786093,97961.64921690049,25.908411509334826,97876.465,97969.98815809467,97782.94184190533
1732387200,97900.2,97900.3,97884.0,97894.0,97895.7,1.88260023,58,97887.3994643239,97876.27804017735,97868.79634151644,97868.11839075561,97869.36009668486,97873.22415338582,97902.93730900543,97913.45750132368,97923.67561037783,97933.45137585507,97942.71386361096,97959.62064409598,33.545160408984444,97873.275,97959.55533089876,97786.99466910123
1732387260,97894.1,97894.1,97894.0,97894.0,97894.0,0.09094024,14,97890.69973216194,97882.18536011998,97874.39717280373,97872.8245197418,97873.15372092444,97875.84258224523,97903.54397480281,97914.47300194859,97925.44722956068,97936.22970441834,97946.67108922145,97966.22371875633,43.08341502279664,97870.84499999999,97951.74858397499,97789.94141602499
