time,open,high,low,close,vwap,volume,count,EMA3,EMA5,EMA8,EMA10,EMA12,EMA15,EMA30,EMA35,EMA40,EMA45,EMA50,EMA60,stochRSI,BB_middle,BB_upper,BB_lower
1732151700,94938.0,94980.0,94779.0,94972.1,94943.9,29.35798128,698,94918.40819020913,94842.4955975685,94735.76905421932,94678.6062625747,94630.70613714895,94571.80226488861,94390.0061538187,94347.50137825834,94309.13512929424,94273.9630593687,94241.45389701879,94183.17382365452,62.28820348975328,94462.24,95053.96408908207,93870.51591091794
1732152600,94972.0,94972.1,94800.0,94899.9,94871.7,5.46912418,523,94909.15409510456,94861.63039837561,94772.2425624164,94718.84075041786,94672.11503742627,94612.77307746102,94420.61829651466,94374.14305815392,94331.73840977204,94292.5030356813,94255.94826656136,94189.77279616168,70.13330643166194,94479.51999999999,95100.45256509865,93858.58743490133
1732153500,94899.9,94900.1,94750.0,94773.5,94845.2,7.76385037,372,94841.32704755227,94832.25359890577,94772.52187549879,94728.77634298029,94687.69428930004,94632.72617148988,94435.784154678,94382.8628756984,94332.60918302237,94284.55130173558,94238.55409731096,94152.67646587173,75.05299734949116,94500.54500000001,95131.31630078977,93869.77369921026
1732154400,94773.5,94773.5,94527.0,94700.7,94649.1,28.80823285,516,94771.01352377614,94788.40239927941,94756.56155127854,94723.67348561893,94689.70969027767,94641.33143306583,94458.86315660534,94411.12922994756,94366.85493049907,94325.38361877066,94286.3690188519,94214.94501639296,78.1978912003471,94528.6,95142.3428191026,93914.85718089741
1732155300,94700.7,94756.3,94214.0,94272.0,94483.7,32.09008631,623,94521.50676188807,94616.26826618762,94648.88122043075,94641.55132346992,94625.44883892186,94595.18128056944,94447.70543475752,94404.99081468882,94364.67087783938,94326.47273164376,94290.25835394849,94223.45940336035,72.50663231463095,94526.61499999999,95143.40027633203,93909.82972366795
1732156200,94272.1,94401.3,94135.0,94194.1,94311.6,23.45552146,454,94357.80338094404,94475.54551079757,94547.81878747206,94560.19779979394,94559.0969670021,94545.11702829087,94435.25570537173,94400.20565611841,94366.99314481227,94335.57338119074,94305.88579835671,94251.43965587774,65.11185043823147,94507.435,95140.32037437675,93874.54962562324
1732157100,94194.1,94489.9,94194.1,94489.9,94449.6,14.58136579,331,94423.85169047202,94480.33034053484,94534.94797846391,94547.4170633153,94548.45640297861,94538.25318797353,94440.89346624959,94408.93121961768,94378.73541333075,94350.30504974566,94323.5766119595,94274.88635814423,58.533246437768376,94507.935,95140.74836672039,93875.1216332796
1732158000,94489.9,94963.8,94489.8,94948.2,94827.3,24.12818154,637,94686.025845236,94636.28689369245,94626.78178751684,94620.28724117205,94609.95957413487,94589.52760100171,94475.33655311035,94441.92675569771,94411.17630612472,94382.80822364918,94356.5691987031,94309.64078280178,56.041198894252794,94531.05500000001,95192.10211019716,93870.00788980286
1732158900,94948.2,95703.0,94943.1,95703.0,95149.9,206.24935570,2386,95194.512922618,94991.85792912533,94865.94135944787,94817.14346251974,94778.11480032835,94728.67548425577,94552.5453703857,94508.45121506977,94468.76372197886,94432.63054940704,94399.47624529182,94340.56234663777,57.97047493918463,94603.3,95425.42897528308,93781.17102471692
1732159800,95703.0,95900.0,95579.5,95697.1,95777.8,87.44347612,1150,95445.806461309,95226.93861941824,95050.64329364923,94977.13585415641,94919.4993477068,94849.74505741043,94627.2983721841,94576.10092716929,94531.1604110945,94491.06623888174,94454.87975963562,94391.77743993099,58.93568533305243,94679.79000000001,95603.77791095989,93755.80208904012
